Date,Open (Spot Price USD),High (Spot Price USD),Low (Spot Price USD),Close (Spot Price USD)
2021-03-11 00:00:00,1739.03,1744.52,1735.26,1739.57
2021-03-12 00:00:00,1718.25,1741.4,1716.2,1739.25
2021-03-15 00:00:00,1748.08,1750.66,1738.6,1746.89
2021-03-16 00:00:00,1748.62,1757.66,1742.69,1748.51
2021-03-17 00:00:00,1747.65,1767.9,1739.14,1761.0
2021-03-18 00:00:00,1735.59,1753.57,1735.15,1750.77
2021-03-19 00:00:00,1750.77,1760.14,1749.37,1758.09
2021-03-22 00:00:00,1747.65,1756.91,1746.46,1755.51
2021-03-23 00:00:00,1749.59,1750.02,1740.32,1742.69
2021-03-24 00:00:00,1747.0,1754.33,1744.09,1748.72
2021-03-25 00:00:00,1756.16,1761.76,1737.42,1742.37
2021-03-26 00:00:00,1741.62,1752.6,1740.97,1747.32
2021-03-29 00:00:00,1738.92,1739.57,1721.37,1726.54
2021-03-30 00:00:00,1701.01,1703.81,1696.81,1697.03
2021-03-31 00:00:00,1702.31,1730.52,1702.2,1722.77
2021-04-01 00:00:00,1740.0,1745.92,1736.99,1744.52
2021-04-05 00:00:00,1739.57,1749.05,1737.85,1743.88
2021-04-06 00:00:00,1753.25,1761.22,1752.82,1757.88
2021-04-07 00:00:00,1753.57,1758.85,1750.12,1752.93
2021-04-08 00:00:00,1768.11,1774.57,1767.79,1771.77
2021-04-09 00:00:00,1752.82,1762.62,1749.91,1758.42
2021-04-12 00:00:00,1752.6,1753.36,1742.69,1747.76
2021-04-13 00:00:00,1757.45,1764.66,1755.83,1760.14
2021-04-14 00:00:00,1753.03,1756.05,1747.97,1752.49
2021-04-15 00:00:00,1767.03,1785.56,1766.6,1780.82
2021-04-16 00:00:00,1790.4,1796.54,1787.17,1791.59
2021-04-19 00:00:00,1786.85,1792.56,1784.8,1786.64
2021-04-20 00:00:00,1784.05,1796.54,1783.73,1792.99
2021-04-21 00:00:00,1800.53,1813.56,1800.21,1810.76
2021-04-22 00:00:00,1799.77,1804.3,1793.1,1799.02
2021-04-23 00:00:00,1802.57,1804.3,1785.45,1792.13
2021-04-26 00:00:00,1794.61,1797.19,1788.36,1796.87
2021-04-27 00:00:00,1797.73,1800.21,1790.84,1792.34
2021-04-28 00:00:00,1785.13,1798.16,1782.33,1797.62
2021-04-29 00:00:00,1783.3,1790.62,1771.34,1790.19
2021-04-30 00:00:00,1786.31,1787.82,1779.63,1784.16
2021-05-03 00:00:00,1805.16,1813.99,1803.01,1807.31
2021-05-04 00:00:00,1806.02,1815.28,1782.44,1794.07
2021-05-05 00:00:00,1794.61,1801.93,1794.39,1801.5
2021-05-06 00:00:00,1808.82,1834.02,1808.5,1831.55
2021-05-07 00:00:00,1847.38,1858.36,1841.67,1848.02
2021-05-10 00:00:00,1860.41,1861.49,1850.07,1853.62
2021-05-11 00:00:00,1836.93,1854.27,1833.81,1853.95
2021-05-12 00:00:00,1846.3,1850.72,1834.67,1835.53
2021-05-13 00:00:00,1834.67,1844.58,1833.38,1843.07
